State true or false. i) An empty tree is also a binary tree. ii) In strictly binary tree the out-degree of every node is either o or 2.,True- False,False- True,True- True,False- False,C,7
Which of the following data structures are indexed structures?,Linear Arrays,Linked Lists,Queue,Stack,A,6
Which of the following data structure store the homogeneous data elements?,Arrays,Records,Pointers,Lists,B,10
When new data are to be inserted into a data structure but there is not available space; this situation is usually called ___,Underflow,overflow,houseful,saturated,B,8
A data structure where elements can be added or removed at either end but not in the middle is called ___,linked lists,stacks,queue,dequeue,D,6
In Dijkstra's algorithm what data structure is commonly used to store the set of nodes?,Stack,Queue,Priority Queue,Linked List,C,10
What is the time complexity of Dijkstra's algorithm with a binary heap implementation?,O(V^2),O(V + E log V),O(E log V),O(V log V),B,7
Which algorithm is used to find the minimum spanning tree of a graph?,Dijkstra's algorithm,Kruskal's algorithm,Floyd-Warshall algorithm,Bellman-Ford algorithm,B,8
What would be the appropriate approach involving steps outlined in a symbolic representation to locate a specific element (key) within a collection?,Pseudocode,Algorithm,Data Structure,Searching,B,6
What method involves systematically reducing the workload by half at each comparison during the search process?,Binary Search,Algorithm,Data Search,Hash Search,A,7
What Algorithm is specifically designed for searching a key in an array that has been ordered by numerical values assigned to the keys (key values)?,Binary Search,Bubble Search,Interpolation Search,Hash Search,C,8
t is a process also known as sequential searching which involves checking every element in a list sequentially until the desired element is found. ,Binary Search,Linear Search,Interpolation Search,Hash Table Search,B,10
Which data structure is specifically designed to implement an associative array?,Binary Search,Linear Search,Interpolation Search,Hash Table Search,D,9
What term refers to an order group of homogeneous elements or items?,Psuedocode,Algorithm,Data Structure,Queue,C,8
What term refers to the maximum number of items that might be on the queue?,Max Item,Algorithm,Item type,Queue,A,10
Which of the following statements accurately describes the principles of FILO(First In  Last Out and LIFO (Last In  First Out) in the context of a stack?,FILO means that the first item added to the stack is the first one to be removed while LIFO means the last item added is the last one to be removed,FILO means that the last item added to the stack is the first one to be removed while LIFO means the first item added is the last one to be removed,FILO and LIFO are interchangeable terms both describing the same principle of stack operation,FILO and LIFO have no specific meaning in the context of stack,B,6
Which of the following statements correctly describes the two constructors commonly used in implementing a stack?,The “Empty Constructor” initializes an empty stack while the “Push Constructor”  pushes an element on the top of an existing stack.,The “Default Constructor” sets the stack size to a predetermined value while the “Custom Constructor” dynamically adjusts the size based on runtime needs.,The “Push Constructor” is responsible for adding elements to the stack while “PopConstructor” is used for removing elements from the stack.,The “Copy Constructor” creates a duplicate stack while the “Resize constructor” adjusts the stack size during runtime,A,7
It is a type of selector which gives back the stack without the top most element,Top,Push,Pop,isEmpty,C,10
What are the two fundamental operations that define the behavior of a queue?,Push and Pop,Enqueue and Dequeue,Add and Remove,Insert and Delete,B,6
Explain the concept of “Enqueue” in a queue. How does this operation affect the structure of the queue and why is it essential in queue-based algorithms?,Enqueue adds an element to the front of the queue ensuring constant complexity,Enqueue adds an element to the rear of the queue maintaining the FIFO order,Enqueue removes the oldest element from the queue ensuring efficient retrieval.,Enqueue swaps the positions of the first and last elements in the queue for better  performance.,B,10
Which term is commonly used to describe the process of removing an element from a queue?,Extract,Dequeue,RemoveFront,PopFront,B,7
Describe a real-world scenario were understanding the FIFO (First In First Out) principle of a queue is crucial. How does the FIFO property impact the outcome in this scenario?,Managing print jobs in a printer queue,Sorting elements in ascending order ,Retrieving items from the middle of the queue,Retrieving items from the middle of the queue,A,9
What is the purpose of the “peek” operation in a stack?,To remove the top elemen,To add an element to the stack ,To view the top element without removing it,To check if the stack is empty,C,7
What is Bubble Sort and how does it work in sorting a list of elements?,Bubble Sort is a complex sorting algorithm that uses a divide-and-conquer approach.,Bubble Sort is a simple sorting algorithm that repeatedly steps through the list  compares adjacent elements  and swaps them if they are in the wrong order.,Bubble Sort is an algorithm specifically designed for searching elements in a database.,Bubble Sort is a sorting technique that works only on numeric data.,B,8
It is a comparison-based sorting algorithm that builds binary data structure and repeatedly extracts the minimum element,Bubble,Heap,Heap,Quick,B,10
Operations on a data structure may be ___,creation,destruction,selection,all of the above,D,8
The way in which the data item or items are logically related defines ____,storage structure,data structure,data relationship,data operation,B,9
Which of the following are the operations applicable an primitive data structures?,create,destroy,update,all of the above,D,7
The use of pointers to refer elements of a data structure in which elements are logically adjacent is ____,pointers,linked allocation,stack,queue,B,8
Arrays are best data structure ___,for relatively permanent collections of data,for the size of the structure and the data in the structure are constantly changing,for both of above situation,for non of above situation,A,9
Which of the following statement is false?,Arrays are dense lists and static data structure.,Data elements in linked list need not be stored in adjacent space in memory,Pointers store the next data element of a list.,Linked lists are collection of the nodes that contain information part and next pointer.,C,7
Which of the following data structure is not linear data structure?,Arrays,Linked lists,Both of the above,None of the above,D,6
Each node in a linked list has two pairs of  _______________ and ______________,Link field and information field,Link field and avail field,Avail field and information field,Address field and link field,A,8
The logical or mathematical model of a particular organization of data is called a ______,Data structure,Data arrangement,Data configuration,Data formation,A,10
The simplest type of data structure is _______,Multidimensional array,Linear array,Two dimensional array,Three dimensional array,B,9
Linear arrays are also called ________,Straight line array,One-dimensional array,Vertical array,Horizontal array,B,8
A  ________does not keep track of address of every element in the list.,Stack,String,Linear array,Queue,C,10
When does top value of the stack changes?,Before deletion,While checking underflow,At the time of deletion,After deletion,D,6
The disadvantage in using a circular linked list is _________,It is possible to get into infinite loop.,Last node points to first node.,Time consuming,Requires more memory space,A,7
A linear list in which each node has pointers to point to the predecessor and successors nodes is called as __,Singly Linked List,Circular Linked List,Doubly Linked List,Linear Linked List,C,10
A ____________ is a linear list in which insertions and deletions are made to from either end of the structure.,circular queue,random of queue,priority,dequeue,D,6
In a priority queue insertion and deletion takes place at _______________,front rear end,only at rear end,only at front end,any position,D,10
The time complexity of quick sort is ____________,O(n),O(n2),O(n log n),O(log n),C,7
Which of the following is an application of stack?,finding factorial,tower of Hanoi,infix to postfix conversion,all of the above,D,9
The data structure which is one ended is  _______,queue,stack,tree,graph,B,7
A list which displays the relationship of adjacency between elements is said to be,linear,non linear,linked list,trees,A,8
Program with highest run-time complexity is,Tower of Hanoi,Fibonacci Series,Prime Number Series,None of these,A,10
The number of unused pointers in a complete binary tree of depth 5 is:,4,8,16,32,C,8
Linear search is highly inefficient compared to binary search when dealing with,Small and unsorted arrays,Small and sorted arrays,Large and unsorted arrays,Large and sorted arrays,D,9
The running time for creating a heap of size n is,O(n),O(log n),O(n log n),O(n2),C,7
The extra key inserted at the end of the array is called a ______________,End Key,Stop Key,Sentinel,Transposition,C,8
Which of the following operations is performed more efficiently by doubly linked list than by singly linked list?,Deleting a node whose location is given,Searching of an unsorted list for a given item,Inserting a new node after node whose location is given,Traversing the list to process each node,A,9
Using square brackets ([]) to retrieve vector elements  ________perform bounds checking; using member function at to retrieve vector elements  _______perform bounds checking.,Does not  and does not,Does not and does,Does and does not,Does and does,B,7
One can determine whether a Binary tree is a Binary Search Tree by traversing it in  _______,Pre-order,In-order,Post-order,Any of these,B,6
The spanning tree of connected graph with 10 vertices contains  ________,9 edges,11 edges,10 edges,9 vertices,A,8
What data structure is used for breadth first traversal of a graph,Queue,Stack,List,None of these,A,10
It is a data structure that uses a function to map keys to indices  enabling constant-time average retrieval.,Bubble,Heap,Hash,Quick,C,9
What is a collision in the context of Hash Tables?,A collision occurs when two keys hash to the same index.,A collision occurs when a key cannot be hashed to any index.,A collision occurs when two keys hash to the same index.,A collision occurs when a key is missing in the hash table.,C,8
In a stack  where does the deletion (pop) of an element occur?,Front,End,Middle,Top,D,10
How are collisions typically resolved?,Collisions are resolved by ignoring one of the conflicting keys,Collisions are resolved by rehashing the key with a new function.,Collisions are resolved by using techniques like chaining or open addressing.,Collisions are resolved by adding the missing key.,C,6
What is stack in data structure?,An ordered collection of elements,A First-in and first-out (FIFO) data structure,A last-in and first out (LIFO) data structure,A sorted collection of elements,C,7
What is a queue in data structure?,Last In First Out (LIFO) structure,First In First Out (FIFO) structure,Random access structure,Stack structure,B,10
Which of the following is the correct order of operations in a stack,Push Pop and Peek,Peek Push and Pop,Pop Peek and Push,Push  Peek and pop,A,6
Which of the following data structure uses a stack for its implementation?,Queue,Linked List,Tree,Recursion,D,10
In a queue  where do new elements get added?,Front,Middle,End,Random position,C,7
What is the term used for the process of adding an element to the rear of the queue,Push,Enqueue,Insert,Append,B,9
If you have a stack with a maximum size of 5 and you attempt to push an element onto a full stack? what will happen?,The element will be added to the stack.,The stack will remain unchanged.,An error will occur  indicating stack overflow.,The top element will be automatically removed.,C,7
If the input array for binary search is not sorted  what is the expected behavior of the algorithm?,It will work correctly without issues.,It will enter an infinite loop,It will return incorrect results,It will raise an exception error.,C,8
In hashing  what is the purpose of the hash function?,To resize the hash table,To determine the load factor.,To calculate the average search time,To map keys to indices in the hash table.,D,10
If you have a queue with a maximum size of 5 and you attempt to enqueue an element onto a full queue  what will happen?,An error will occur  indicating queue overflow.,The element will be added to the queue.,The queue will remain unchanged,The front element will be automatically removed.,A,8
In the binary search algorithm and what is the purpose of the mid variable?,It represents the length of the array.,It is the target element to be found.,It is the middle index of the current search range.,It is the sum of the left and right indices.,C,9
Which of the following statements is TRUE in the context of function calls?,Stack helps ensure functions are called in alphabetical order.,Stack keeps track of the order of function calls and their local variables.,Stack prevents the execution of recursive functions.,Stack enforces a first-in  las-out order for function calls.,B,7
Which of the following statements is TRUE if you pop an element from an empty stack?,An error is thrown,The program crashes,Nothing happens,The top element is set to null,A,8
Which is TRUE in the purpose of a priority queue?,Sort elements in ascending order,Organize elements in random order,Assign priorities to elements and process them accordingly,To reverse the order of elements.,C,9
Consider the following array: [4 1 7 3 9 2]. Apply the bubble sort algorithm to sort the array. What is the array after the second pass?,[1 4 3 7 2 9],[1 2 3 4 7 9],[4 1 7 3 9 2],[4 1 3 7 2 9],B,7
"Consider the following array: [4 1 7 3 9 2]. Apply the bubble sort algorithm to sort the array. What is the array after the first pass?",[1 4 3 7 2 9],[1 2 3 4 7 9],[4 1 7 3 9 2],[4 1 3 7 2 9],A,6
"Consider the following array: [4 1 7 3 9 2]. Apply the bubble sort algorithm to sort the array. What is the array after the third pass?",[1 4 3 7 2 9],[1 2 3 4 7 9],[4 1 7 3 9 2],[4 1 3 7 2 9],C,8
"Consider the following array: [4 1 7 3 9 2]. Apply the bubble sort algorithm to sort the array. What is the array after the fourth pass?",[1 4 3 7 2 9],[1 2 3 4 7 9],[4 1 7 3 9 2],[4 1 3 7 2 9],B,10
"Consider the following array: [4 1 7 3 9 2]. Apply the bubble sort algorithm to sort the array. What would be the sorted array?",[1 4 3 7 2 9],[1 2 3 4 7 9],[4 1 7 3 9 2],[4 1 3 7 2 9],B,9
"Consider the following array [2 12 5 16 18 30 21 25]. You want to perform a binary search to find the element ""16"". After the binary search  what is the status of the array?",[2 12 5 16 18 30 21 25].,[30 25 21 18 16 12 5 2].,[2 5 12 16 18 21 25 30],[2 5 12 18 21 25 30],C,8
If a binary search is applied to a sorted array of length 16  what is the maximum number of comparisons needed to find an element?,4,8,16,32,B,10
Suppose you have a queue with the elements [3 5 7 9]. If you enqueue the element 11 and then dequeue two elements  what will be the resulting queue?,[7 9 11],[9 11],[11],[3 5 7 9],A,6
Consider a queue with the following elements:[2 4 6 8 10]. If you enqueue the elements 12 and dequeue an element  what will be the resulting queue?,[4 6 8 10 12],[2 4 6 8 10 12],[6 8 10 12],[2 4 6 8 10],C,7
Suppose you have an array with the following elements:[2 4 6 8 10]. If you perform a binary search for the element 7  what will be the result?,Element found at index 2,Element not found,Element found at index 3,Element found at index 4,B,10
"Suppose you have a sorted array [1 3 5 7 9 11 13 15] and you want to find the index of the element7 using binary search. After each iteration of the binary search  which subarray would be considered next?",[1 3 5 7],[7 9 11 13 15],[5 7 9 11 12 15],[1 3 5 7 9 11 13 15],B,6
Consider a stack with the elements [2 4 6 8 10]. If you push the element 12 onto the stack and then pop an element  what will be the resulting stack?,[2 4 6 8 10],[2 4 6 8 10 12],[2 4 6 8 12],[2 4 6 12],C,10
Suppose you have a stack with the elements [3 5 7 9]. If you push element 11 onto the stack and then pop two elements  what will be the resulting stack?,[7 9 11],[9 11],[11],[3 5 7 91],B,7
Consider an array with the following elements: [12 4 8 6 10]. If you perform a linear search for the element 6  what will be the result?,Element found at index 3,Element not found,Element found at index 4,Element found at index 2,C,9
If a linear search is applied to an array of length 10  and the element to be searched is at the last index  what is the maximum number of comparisons needed to find the element?,1,5,10,9,C,7
Suppose you have an array with the following elements: [8 3 1 7 4]. After two passes of the Bubble Sort algorithm  what will be the new order of the array?,[1 3 4 7 8],[3 1 7 4 8],[8 3 1 7 4],[4 7 1 3 8],A,8
Consider an array [1 3 5 7 9] and the target element is 5. How many iterations will the binary search algorithm take to find the target?,1,2,3,4,B,10
Consider an initially empty stack. If the sequence of operations is: Push(3)  Push(5)  Pop0  Push(2)  Pop  what is the final state of the stack?,[3 5],[5 2],[2],[5 3 2],C,8
Suppose you have a queue with the elements [1 2 3 4]. If you perform two consecutive Dequeue operations  what will be the resulting queue?,[3 5],[2 3],[1 2],[4],C,9
Consider a stack with the elements [7 9 2 4]. If you push element 5 onto the stack  what will be the top element?,2,9,4,7,C,7
Consider an initially empty queue. If the sequence of operations is: Enqueue(3)  Enqueue(5)  Dequeue)  Enqueue(2)  Dequeue)  what is the final state of the queue?,[3 5],[5 2],[2],[3 2],C,8
Consider a queue with the elements [7 9 2 4]. If you enqueue the element 5  what will be the front element?,2,5,4,7,A,9
Consider a queue with the elements [2 4 6 8.10]. If you perform linear search for the element 7  what will be the result?,Element found at index 2,Element not found,Element found at index 3,Element found at index 4,B,7
Consider a queue with the elements [3 7 2 8.5]. If you perform linear search for the element 8  what will be the result?,Element found at index 2,Element not found,Element found at index 3,Element found at index 4,C,6
Consider a queue with the elements [12 4 6 8.10]. If you perform linear search for the element 6  what will be the result?,Element found at index 2,Element not found,Element found at index 3,Element found at index 4,A,8
Consider the following array: [2 1 7 10 9 4 8 6]. Apply the bubble sort algorithm to sort the array.What is the array after the first pass?,[1 2 7 4 8 6 9 10],[1 2 7 9 4 8 6 10], [1 2 4 7 6 8 9 10],[1 2 4 6 7 8 9 10],B,10
Consider the following array:[2 1 7 10 9 4 8 6]. Apply the bubble sort algorithm to sort the array. What is the array after the second pass?,[1 2 7 4 8 6 9 10],[1 2 7 9 4 8 6 10], [1 2 4 7 6 8 9 10],[1 2 4 6 7 8 9 10],A,9
Consider the following array:[2 1 7 10 9 4 8 6]. Apply the bubble sort algorithm to sort the array.What is the array after the third pass?,[1 2 7 4 8 6 9 10],[1 2 7 9 4 8 6 10], [1 2 4 7 6 8 9 10],[1 2 4 6 7 8 9 10],C,8
Consider the following array: [2 1 7 10 9 4 8 6]. Apply the bubble sort algorithm to sort the array.What is the array after the fourth pass?,[1 2 7 4 8 6 9 10],[1 2 7 9 4 8 6 10], [1 2 4 7 6 8 9 10],[1 2 4 6 7 8 9 10],D,10
Consider the following array: [2 1 7 10 9 4 8 6]. Apply the bubble sort algorithm to sort the array.What would be the sorted array?,[1 2 7 4 8 6 9 10],[1 2 7 9 4 8 6 10], [1 2 4 7 6 8 9 10],[1 2 4 6 7 8 9 10],D,6
Two main measures for the efficiency of an algorithm are,Processor and memory,Complexity and capacity,Time and space,Data and space,C,7
The time factor when determining the efficiency of algorithm is measured by,Counting microseconds,Counting the number of key operations,Counting the number of statements,Counting the kilobytes of algorithm,B,10
The space factor when determining the efficiency of algorithm is measured by,Counting the maximum memory needed by the algorithm,Counting the minimum memory needed by the algorithm,Counting the average memory needed by the algorithm,Counting the maximum disk space needed by the algorithm,A,6
Which of the following case does not exist in complexity theory,Best case,Worst case,Average case,Null case,D,10
The Worst case occur in linear search algorithm when,The Worst case occur in linear search algorithm when,Item is not in the array at all, Item is the last element in the array,Item is the last element in the array or is not there at all,D,7
The Average case occur in linear search algorithm,When Item is somewhere in the middle of the array,When Item is not in the array at all,When Item is the last element in the array,When Item is the last element in the array or is not there at all,A,9
The complexity of the average case of an algorithm is,Much more complicated to analyze than that of worst case,Much more simpler to analyze than that of worst case,Sometimes more complicated and some other times simpler than that of worst case,None or above,A,7
The complexity of linear search algorithm is,O(n),O(log n),O(n2),O(n log n),A,8
The complexity of Binary search algorithm is,O(n),O(log n),O(n2),O(n log n),B,10
The complexity of Bubble sort algorithm is,O(n),O(log n),O(n2),O(n log n),C,8
The complexity of merge sort algorithm is,O(n),O(log n),O(n2),O(n log n),D,9
The indirect change of the values of a variable in one module by another module is called,internal change,inter-module change,side effect,side-module update,C,7
Which of the following data structure is not linear data structure?,Arrays,Linked lists,Both of above,None of above,D,8
Which of the following data structure is linear data structure?,Trees,Graphs,Arrays,None of above,C,9
The operation of processing each element in the list is known as,Sorting,Merging,Inserting,Traversal,D,7
Finding the location of the element with a given value is:,Traversal,Search,Sort,None of above,B,6
Arrays are best data structures,for relatively permanent collections of data,for the size of the structure and the data in the structure are constantly changing,for both of above situation,for none of above situation,A,8
Linked lists are best suited,for relatively permanent collections of data,for the size of the structure and the data in the structure are constantly changing,for both of above situation,or none of above situation,B,10
Each array declaration need not give implicitly or explicitly the information about,the name of array,the data type of array,the first data from the set to be stored,the index set of the array,C,9
The elements of an array are stored successively in memory cells because,by this way computer can keep track only the address of the first element and the addresses of other elements can be calculated,the architecture of computer memory does not allow arrays to store other than serially,both of above,None of above,A,8
The memory address of the first element of an array is called,floor address,foundation address,first address,base address,D,10
The memory address of fifth element of an array can be calculated by the formula,LOC(Array[5]=Base(Array)+w(5-lower bound) where w is the number of words per memory cell for the array,LOC(Array[5])=Base(Array[5])+(5-lower bound) where w is the number of words per memory cellfor the array,LOC(Array[5])=Base(Array[4])+(5-Upper bound) where w is the number of words per memory cellfor the array,None of above,A,6
Which of the following data structures are indexed structures?,linear arrays,linked lists,both of above,None of above,A,7
Which of the following is not the required condition for binary search algorithm?,The list must be sorted,there should be the direct access to the middle element in any sublist,There must be mechanism to delete and/or insert elements in list,None of above,C,10
Which of the following is not a limitation of binary search algorithm?,must use a sorted array,requirement of sorted array is expensive when a lot of insertion and deletions are needed,there must be a mechanism to access middle element directly,binary search algorithm is not efficient when the data elements are more than 1000,D,6
Two dimensional arrays are also called,tables arrays,matrix arrays,both of above,None of above,B,10
A variable P is called pointer if,P contains the address of an element in DATA,P points to the address of first element in DATA,P can store only memory addresses,P contain the DATA and the address of DATA,A,7
Which of the following data structure can't store the non-homogeneous data elements?,Arrays,Records,Pointers,None,A,9
Which of the following data structure store the homogeneous data elements?,Arrays,Records,Pointers,None,A,7
Each data item in a record may be a group item composed of sub-items: those items which areindecomposable are called,elementary items,atoms,scalars,all of above,D,8
The difference between linear array and a record is,An array is suitable for homogeneous data but hte data items in a record may have different data type,In a record there may not be a natural ordering in opposed to linear array,A record form a hierarchical structure but a lienear array does not,all of above,D,10
Which of the following statement is false?,Arrays are dense lists and static data structure,data elements in linked list need not be stored in adjecent space in memory,pointers store the next data element of a list,linked lists are collection of the nodes that contain information part and next pointers,C,8
Binary search algorithm can not be applied to,sorted linked list,sorted binary trees,sorted linear array,pointer array,A,9
When new data are to be inserted into a data structure but there is no available space: thissituation is usually called,underflow,overflow,housefull,saturated,B,7
The situation when in a linked list START=NULL is,underflow,overflow,housefull,saturated,A,8
Which of the following is two way list?,grounded header list,circular header list,linked list with header and trailer nodes,none of above,C,9
Which of the following name does not relate to stacks?,FIFO lists,LIFO list,Piles,Push-down lists,A,7
"The term ""push"" and ""pop"" is related to the",array,lists,stacks,all of above,C,6
A data structure where elements can be added or removed at either end but not in the middle,Linked lists,Stacks,Queues,Deque,D,8
